AGE;Di Tích Lịch Sử;Món ăn ngon;Trải nghiệm mới;Vẻ đẹp thiên;Bạn đi với;Visiting time;sex;Desired amount;Cố đô Huế;Lăng Minh Mạng;Cung An Định Huế;Cầu Tràng Tiền;Làng Hương Xuân Thuỷ;Chùa Từ Hiếu;Chùa Thiên Mụ;Vườn hoa Bách Vân;Đồi Vọng Cảnh;Chợ Đông Ba
20;0;1;0;0;Người yêu;2 ngày 1 đêm;Nam;Từ 1 đến 3 triệu;1;0;0;0;0;0;0;1;1;0
19;1;0;0;1;Người yêu;3 ngày 2 đêm;Nam;Từ 3 đến 5 Triệu;1;0;0;0;0;0;0;1;1;0
20;1;0;0;0;Gia đình;3 ngày 2 đêm;Nam;3,5 triệu;1;0;1;0;0;0;0;0;1;1
19;1;1;1;1;Gia đình;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;1;0;1;0;0;0;1;1;1;1
19;1;1;1;1;Bạn Bè;3 ngày 2 đêm;Nữ;Từ 1 đến 3 triệu;0;0;1;0;0;0;0;1;1;0
19;1;0;0;0;Gia đình;3 ngày 2 đêm;Nam;Từ 3 đến 5 Triệu;1;0;1;0;0;0;0;0;1;1
22;1;1;0;0;Một Mình;2 ngày 1 đêm;Nam;Từ 1 đến 3 triệu;1;0;0;0;0;0;1;1;1;1
21;1;1;1;1;Gia đình;3 ngày 2 đêm;Nữ;3,5 triệu;1;0;1;0;0;0;0;1;1;0
20;1;1;0;1;Bạn Bè;2 ngày 1 đêm;Nữ;Từ 3 đến 5 Triệu;1;0;0;0;0;0;1;1;1;1
21;1;1;0;0;Gia đình;3 ngày 2 đêm;Nam;Từ 3 đến 5 Triệu;0;0;1;0;0;0;0;1;1;0
22;1;0;0;0;Gia đình;3 ngày 2 đêm;Nam;Từ 3 đến 5 Triệu;1;0;1;0;0;0;1;1;1;1
20;1;0;1;0;Gia đình;4 ngày 3 đêm;Nam;3,5 triệu;1;0;0;0;0;0;1;1;1;1
22;1;0;0;1;Người yêu;4 ngày 3 đêm;Nam;Từ 5 đến 7 triệu;0;0;0;0;0;0;0;1;1;1
22;1;1;1;1;Bạn Bè;4 ngày 3 đêm;Nữ;Từ 3 đến 5 Triệu;1;0;0;0;0;0;0;0;1;1
20;0;1;0;0;Người yêu;3 ngày 2 đêm;Nam;3,5 triệu;1;0;0;0;0;0;0;1;0;0
13;0;1;1;0;Một Mình;5 ngày 4 đêm;Nam;Trên 10 triệu;1;0;1;0;0;0;0;1;0;0
20;0;1;0;0;Người yêu;3 ngày 2 đêm;Nam;3,5 triệu;1;0;0;0;0;0;1;1;1;0
20;1;0;0;0;Một Mình;5 ngày 4 đêm;Nữ;Từ 5 đến 7 triệu;1;0;0;0;0;0;0;1;1;0
22;1;1;1;1;Bạn Bè;2 ngày 1 đêm;Nữ;3,5 triệu;1;0;1;0;0;0;1;0;1;1
20;1;0;0;1;Một Mình;4 ngày 3 đêm;Nữ;Từ 3 đến 5 Triệu;1;0;0;0;0;0;1;1;1;1
20;1;1;1;1;Gia đình;3 ngày 2 đêm;Nam;Từ 5 đến 7 triệu;1;0;1;0;0;0;1;1;1;1
21;1;0;1;0;Gia đình;3 ngày 2 đêm;Nam;Từ 3 đến 5 Triệu;1;0;1;0;0;0;0;1;1;0
21;1;0;0;0;Gia đình;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;1;0;1;0;0;0;0;1;1;0
21;1;0;0;0;Gia đình;5 ngày 4 đêm;Nam;Từ 3 đến 5 Triệu;0;0;0;0;0;0;1;0;0;1
25;1;1;0;1;Người yêu;4 ngày 3 đêm;Nữ;Từ 3 đến 5 Triệu;1;0;1;0;0;0;1;1;1;0
20;0;1;0;0;Gia đình;5 ngày 4 đêm;Nam;Từ 5 đến 7 triệu;0;0;0;0;0;0;0;1;1;0
20;1;0;1;1;Gia đình;3 ngày 2 đêm;Nam;3,5 triệu;1;0;0;0;0;0;1;0;0;0
22;1;1;1;1;Người yêu;3 ngày 2 đêm;Nữ;3,5 triệu;1;0;0;0;0;0;1;1;1;0
21;1;0;0;0;Gia đình;4 ngày 3 đêm;Nam;3,5 triệu;1;0;0;0;0;0;1;1;1;0
23;1;0;1;0;Gia đình;3 ngày 2 đêm;Nam;Từ 3 đến 5 Triệu;1;0;1;0;0;0;1;1;1;1
20;1;1;0;1;Bạn Bè;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;0;0;0;0;0;0;1;1;1;0
21;1;1;0;1;Một Mình;4 ngày 3 đêm;Nam;Từ 5 đến 7 triệu;1;0;1;0;0;0;1;1;1;1
20;1;0;1;1;Gia đình;5 ngày 4 đêm;Nam;Từ 5 đến 7 triệu;1;0;0;0;0;0;1;1;1;0
22;1;0;0;0;Bạn Bè;2 ngày 1 đêm;Nữ;Từ 5 đến 7 triệu;1;0;0;0;0;0;0;0;0;0
20;1;1;0;1;Gia đình;5 ngày 4 đêm;Nam;Từ 5 đến 7 triệu;1;0;1;0;0;0;1;1;1;1
23;1;0;0;1;Gia đình;3 ngày 2 đêm;Nam;Từ 3 đến 5 Triệu;1;0;1;0;0;0;1;1;1;1
22;1;0;0;0;Bạn Bè;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;1;0;1;0;0;0;1;0;0;1
22;1;0;1;1;Bạn Bè;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;1;0;1;0;0;0;1;1;1;1
23;0;1;0;0;Bạn Bè;3 ngày 2 đêm;Nữ;Từ 5 đến 7 triệu;1;0;1;0;0;0;1;1;1;1
22;1;1;1;1;Gia đình;3 ngày 2 đêm;Nữ;Từ 5 đến 7 triệu;0;0;0;0;0;0;1;0;0;0
22;1;1;0;1;Gia đình;3 ngày 2 đêm;Nam;Từ 3 đến 5 Triệu;1;0;0;0;0;0;0;0;1;1
60;1;1;1;1;Người yêu;5 ngày 4 đêm;Nữ;Trên 10 triệu;1;0;1;0;0;0;1;1;1;1
40;1;1;0;0;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;1;0;0;0;0;0;1;0;1;1
22;1;0;0;0;Bạn Bè;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;1;0;1;0;0;0;0;1;1;1
37;0;1;0;1;Gia đình;3 ngày 2 đêm;Nữ;3,5 triệu;1;0;0;0;0;0;1;1;1;0
22;0;0;0;1;Gia đình;3 ngày 2 đêm;Nữ;3,5 triệu;1;0;0;0;0;0;1;0;0;0
19;1;0;0;0;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;1;0;1;0;0;0;1;1;1;0
40;1;1;0;0;Gia đình;4 ngày 3 đêm;Nam;Từ 5 đến 7 triệu;1;0;0;0;0;0;1;0;1;0
42;1;1;0;0;Gia đình;2 ngày 1 đêm;Nữ;Từ 3 đến 5 Triệu;1;0;1;0;0;0;1;1;0;1
20;1;1;1;1;Gia đình;2 ngày 1 đêm;Nam;3,5 triệu;1;0;1;0;0;0;0;1;0;1
20;0;0;0;1;Gia đình;4 ngày 3 đêm;Nam;Từ 3 đến 5 Triệu;1;0;0;0;0;0;0;1;1;0
21;1;1;1;0;Gia đình;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;1;0;0;0;0;0;0;1;1;1
20;1;1;1;1;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;1;0;1;0;0;0;1;1;1;1
40;0;0;1;1;Gia đình;2 ngày 1 đêm;Nam;3,5 triệu;1;0;1;0;0;0;1;0;0;1
19;1;1;0;0;Gia đình;3 ngày 2 đêm;Nữ;Trên 10 triệu;0;0;0;0;0;0;0;1;0;0
23;1;0;0;0;Gia đình;4 ngày 3 đêm;Nam;Từ 3 đến 5 Triệu;1;0;0;0;0;0;0;0;0;0
40;1;1;0;1;Gia đình;3 ngày 2 đêm;Nam;Từ 3 đến 5 Triệu;1;0;1;0;0;0;1;0;0;1
20;1;1;1;1;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;1;0;1;0;0;0;1;1;1;1
20;0;0;0;1;Gia đình;5 ngày 4 đêm;Nam;Từ 5 đến 7 triệu;1;0;0;0;0;0;0;1;1;0
20;1;0;0;0;Gia đình;2 ngày 1 đêm;Nam;Từ 1 đến 3 triệu;1;0;1;0;0;0;1;1;1;1
20;1;1;1;1;Gia đình;2 ngày 1 đêm;Nam;Từ 3 đến 5 Triệu;1;0;0;0;0;0;1;1;0;1
22;0;1;0;0;Người yêu;5 ngày 4 đêm;Nữ;3,5 triệu;1;0;1;0;0;0;1;1;1;1
21;1;1;0;0;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;1;0;1;0;0;0;1;1;1;1
20;1;0;0;1;Bạn Bè;2 ngày 1 đêm;Nữ;Từ 3 đến 5 Triệu;1;0;1;0;0;0;0;1;1;1
20;1;0;0;0;Gia đình;2 ngày 1 đêm;Nam;Từ 5 đến 7 triệu;1;0;1;0;0;0;1;1;1;1
20;1;0;1;1;Gia đình;4 ngày 3 đêm;Nữ;3,5 triệu;1;0;1;0;0;0;1;1;0;1
19;1;0;0;0;Một Mình;2 ngày 1 đêm;Nữ;Từ 1 đến 3 triệu;0;0;0;0;0;0;0;1;0;1
20;1;0;0;0;Gia đình;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;1;0;0;0;0;0;0;0;0;0
21;1;1;1;0;Gia đình;5 ngày 4 đêm;Nữ;Từ 3 đến 5 Triệu;1;0;0;0;0;0;1;1;0;1
20;1;1;0;1;Gia đình;5 ngày 4 đêm;Nam;Từ 3 đến 5 Triệu;1;0;0;0;0;0;0;1;0;1
22;1;1;0;0;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;1;0;1;0;0;0;1;1;1;1
18;1;1;0;0;Gia đình;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;1;0;1;0;0;0;1;1;1;1
19;1;0;1;1;Bạn Bè;4 ngày 3 đêm;Nam;Từ 5 đến 7 triệu;1;0;1;0;0;0;1;1;1;1
18;0;0;0;1;Gia đình;4 ngày 3 đêm;Nữ;Từ 5 đến 7 triệu;1;0;0;0;0;0;1;0;0;0
16;1;0;0;0;Gia đình;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;1;0;1;0;0;0;0;1;1;0
17;1;1;0;0;Gia đình;5 ngày 4 đêm;Nam;Từ 3 đến 5 Triệu;1;0;1;0;0;0;1;1;1;1
22;1;0;0;0;Bạn Bè;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;1;0;0;0;0;0;1;1;1;0
23;1;1;1;1;Gia đình;4 ngày 3 đêm;Nữ;Từ 3 đến 5 Triệu;1;0;1;0;0;0;1;0;1;0
22;1;0;0;0;Gia đình;4 ngày 3 đêm;Nữ;Từ 5 đến 7 triệu;0;0;0;0;0;0;0;0;0;1
24;0;0;0;1;Người yêu;3 ngày 2 đêm;Nam;Từ 3 đến 5 Triệu;0;0;0;0;0;0;0;0;1;0
20;1;0;0;0;Gia đình;3 ngày 2 đêm;Nam;Từ 3 đến 5 Triệu;1;0;1;0;0;0;0;1;1;1
21;1;0;0;1;Gia đình;3 ngày 2 đêm;Nam;Từ 3 đến 5 Triệu;1;0;0;0;0;0;0;1;1;0
20;1;1;0;1;Người yêu;3 ngày 2 đêm;Nam;3,5 triệu;1;0;1;0;0;0;1;1;1;1
20;1;1;0;0;Gia đình;3 ngày 2 đêm;Nữ;Từ 5 đến 7 triệu;1;0;1;0;0;0;1;1;1;1
20;1;1;0;1;Bạn Bè;5 ngày 4 đêm;Nữ;3,5 triệu;1;0;1;0;0;0;1;1;1;1
22;1;0;0;0;Bạn Bè;4 ngày 3 đêm;Nữ;Từ 5 đến 7 triệu;1;0;0;0;0;0;0;0;0;0
15;1;1;0;0;Gia đình;4 ngày 3 đêm;Nữ;Trên 10 triệu;1;0;1;0;0;0;1;1;1;1
18;0;1;1;0;Người yêu;3 ngày 2 đêm;Nam;Từ 5 đến 7 triệu;1;0;1;0;0;0;0;0;0;0
22;0;0;0;1;Người yêu;4 ngày 3 đêm;Nữ;Từ 3 đến 5 Triệu;0;0;1;0;0;0;0;1;1;0
22;1;0;0;1;Gia đình;2 ngày 1 đêm;Nam;Từ 3 đến 5 Triệu;1;0;0;0;0;0;0;0;0;0
22;0;1;0;1;Bạn Bè;4 ngày 3 đêm;Nam;Từ 5 đến 7 triệu;1;0;0;0;0;0;1;0;1;1
21;1;1;0;1;Người yêu;5 ngày 4 đêm;Nam;3,5 triệu;1;0;1;0;0;0;1;0;0;1
22;0;1;1;0;Gia đình;4 ngày 3 đêm;Nữ;Từ 3 đến 5 Triệu;1;0;0;0;0;0;1;0;1;1
20;1;0;0;0;Một Mình;4 ngày 3 đêm;Nữ;Trên 10 triệu;1;0;1;0;0;0;1;1;1;1
21;1;0;0;0;Gia đình;3 ngày 2 đêm;Nữ;Từ 1 đến 3 triệu;1;0;0;0;0;0;0;0;0;1
44;0;1;0;0;Gia đình;5 ngày 4 đêm;Nữ;Trên 10 triệu;1;0;1;0;0;0;1;1;1;1
20;1;0;0;0;Người yêu;5 ngày 4 đêm;Nam;Từ 1 đến 3 triệu;1;0;0;0;0;0;0;0;0;0
25;0;0;0;1;Gia đình;5 ngày 4 đêm;Nam;Trên 10 triệu;1;0;0;0;0;0;0;0;0;0
20;1;0;0;0;Gia đình;4 ngày 3 đêm;Nữ;Trên 10 triệu;1;0;1;0;0;0;1;1;1;1
21;1;0;0;0;Gia đình;3 ngày 2 đêm;Nam;3,5 triệu;1;0;1;0;0;0;1;0;0;1
17;1;0;0;0;Gia đình;2 ngày 1 đêm;Nữ;Từ 5 đến 7 triệu;1;0;0;0;0;0;1;0;1;0
21;1;0;0;1;Gia đình;2 ngày 1 đêm;Nữ;Từ 1 đến 3 triệu;0;0;0;0;0;0;0;1;1;0
24;1;0;0;1;Người yêu;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;1;0;1;0;0;0;1;0;1;0
19;1;0;0;0;Gia đình;5 ngày 4 đêm;Nam;3,5 triệu;1;0;1;0;0;0;1;1;1;1
19;1;0;0;0;Gia đình;2 ngày 1 đêm;Nữ;Từ 1 đến 3 triệu;1;0;1;0;0;0;1;0;0;0
19;0;1;0;0;Gia đình;4 ngày 3 đêm;Nam;Từ 3 đến 5 Triệu;1;0;1;0;0;0;1;1;1;1
20;0;1;0;0;Bạn Bè;2 ngày 1 đêm;Nam;Từ 3 đến 5 Triệu;1;0;0;0;0;0;0;0;0;0
19;1;1;1;1;Gia đình;3 ngày 2 đêm;Nam;Từ 3 đến 5 Triệu;1;0;1;0;0;0;1;1;1;1
43;1;1;0;1;Gia đình;3 ngày 2 đêm;Nữ;3,5 triệu;1;0;1;0;0;0;1;0;0;0
19;1;1;0;1;Người yêu;3 ngày 2 đêm;Nam;Từ 3 đến 5 Triệu;1;0;1;0;0;0;0;1;1;1
20;1;1;0;0;Người yêu;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;1;0;0;0;0;0;0;0;0;0
22;1;0;0;1;Gia đình;3 ngày 2 đêm;Nam;3,5 triệu;1;0;1;0;0;0;1;1;1;1
22;1;0;0;1;Bạn Bè;4 ngày 3 đêm;Nữ;Từ 3 đến 5 Triệu;1;0;1;0;0;0;1;0;1;1
20;1;0;0;0;Người yêu;2 ngày 1 đêm;Nữ;3,5 triệu;1;0;0;0;0;0;1;1;1;1
20;1;1;0;1;Một Mình;3 ngày 2 đêm;Nữ;Từ 5 đến 7 triệu;1;0;1;0;0;0;1;1;1;1
31;1;0;0;0;Gia đình;2 ngày 1 đêm;Nữ;Từ 1 đến 3 triệu;0;0;0;0;0;0;1;0;1;0
19;1;0;0;0;Một Mình;2 ngày 1 đêm;Nam;Từ 3 đến 5 Triệu;1;0;0;0;0;0;0;0;0;1
20;0;0;0;1;Gia đình;3 ngày 2 đêm;Nam;Từ 5 đến 7 triệu;1;0;1;0;0;0;1;1;1;1
22;1;1;0;0;Bạn Bè;2 ngày 1 đêm;Nữ;Từ 1 đến 3 triệu;1;0;1;0;0;0;1;1;1;1
23;1;1;1;1;Một Mình;5 ngày 4 đêm;Nữ;Từ 3 đến 5 Triệu;1;0;0;0;0;0;1;0;1;1
19;1;1;1;1;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;1;0;0;0;0;0;0;1;1;0
24;1;1;0;0;Gia đình;2 ngày 1 đêm;Nữ;Từ 5 đến 7 triệu;1;0;1;0;0;0;0;0;0;0
20;1;1;0;0;Bạn Bè;2 ngày 1 đêm;Nam;Từ 3 đến 5 Triệu;1;0;0;0;0;0;0;1;1;0
21;1;0;1;1;Một Mình;3 ngày 2 đêm;Nam;Từ 3 đến 5 Triệu;1;0;1;0;0;0;0;0;1;0
42;1;1;0;0;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;1;0;1;0;0;0;1;0;0;1
21;1;1;1;1;Bạn Bè;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;1;0;0;0;0;0;0;0;0;1
19;1;0;0;0;Gia đình;3 ngày 2 đêm;Nữ;Trên 10 triệu;1;0;0;0;0;0;0;1;1;0
26;1;1;0;0;Gia đình;2 ngày 1 đêm;Nam;Từ 1 đến 3 triệu;1;1;0;1;1;1;0;0;0;0
20;1;0;0;0;Gia đình;3 ngày 2 đêm;Nữ;Từ 5 đến 7 triệu;1;0;1;0;0;0;1;1;1;1
21;1;1;1;1;Gia đình;4 ngày 3 đêm;Nữ;Trên 10 triệu;1;0;1;0;0;0;0;1;1;0
20;1;1;1;1;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;1;0;1;0;0;0;1;0;1;0
22;1;1;1;1;Một Mình;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;1;0;1;0;0;0;1;0;1;0
19;1;0;0;0;Gia đình;5 ngày 4 đêm;Nam;Từ 1 đến 3 triệu;1;0;1;0;0;0;1;1;1;1
22;1;0;0;0;Bạn Bè;5 ngày 4 đêm;Nữ;Từ 5 đến 7 triệu;1;1;0;1;1;1;1;0;0;1
26;1;1;0;0;Gia đình;2 ngày 1 đêm;Nam;Từ 1 đến 3 triệu;1;1;0;1;1;1;0;0;0;0
20;1;0;0;0;Gia đình;3 ngày 2 đêm;Nữ;Từ 5 đến 7 triệu;1;0;1;0;0;0;1;1;1;1
21;1;1;1;1;Gia đình;4 ngày 3 đêm;Nữ;Trên 10 triệu;1;0;1;0;0;0;0;1;1;0
20;1;1;1;1;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;1;0;1;0;0;0;1;0;1;0
22;1;1;1;1;Một Mình;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;1;0;1;0;0;0;1;0;1;0
19;1;0;0;0;Gia đình;5 ngày 4 đêm;Nam;Từ 1 đến 3 triệu;1;0;1;0;0;0;1;1;1;1
22;1;0;0;0;Bạn Bè;5 ngày 4 đêm;Nữ;Từ 5 đến 7 triệu;1;1;0;1;1;1;1;0;0;1
26;1;1;0;0;Gia đình;2 ngày 1 đêm;Nam;Từ 1 đến 3 triệu;1;1;0;1;1;1;0;0;0;0
20;1;0;0;0;Gia đình;3 ngày 2 đêm;Nữ;Từ 5 đến 7 triệu;1;0;1;0;0;0;1;1;1;1
21;1;1;1;1;Gia đình;4 ngày 3 đêm;Nữ;Trên 10 triệu;1;0;1;0;0;0;0;1;1;0
20;1;1;1;1;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;1;0;1;0;0;0;1;0;1;0
22;1;1;1;1;Một Mình;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;1;0;1;0;0;0;1;0;1;0
19;1;0;0;0;Gia đình;5 ngày 4 đêm;Nam;Từ 1 đến 3 triệu;1;0;1;0;0;0;1;1;1;1
22;1;0;0;0;Bạn Bè;5 ngày 4 đêm;Nữ;Từ 5 đến 7 triệu;1;1;0;1;1;1;1;0;0;1
26;1;1;0;0;Gia đình;2 ngày 1 đêm;Nam;Từ 1 đến 3 triệu;1;1;0;1;1;1;0;0;0;0
20;1;0;0;0;Gia đình;3 ngày 2 đêm;Nữ;Từ 5 đến 7 triệu;1;0;1;0;0;0;1;1;1;1
21;1;1;1;1;Gia đình;4 ngày 3 đêm;Nữ;Trên 10 triệu;1;0;1;0;0;0;0;1;1;0
20;1;1;1;1;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;1;0;1;0;0;0;1;0;1;0
22;1;1;1;1;Một Mình;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;1;0;1;0;0;0;1;0;1;0
19;1;0;0;0;Gia đình;5 ngày 4 đêm;Nam;Từ 1 đến 3 triệu;1;0;1;0;0;0;1;1;1;1
22;1;0;0;0;Bạn Bè;5 ngày 4 đêm;Nữ;Từ 5 đến 7 triệu;1;1;0;1;1;1;1;0;0;1
26;1;1;0;0;Gia đình;2 ngày 1 đêm;Nam;Từ 1 đến 3 triệu;1;1;0;1;1;1;0;0;0;0
20;1;0;0;0;Gia đình;3 ngày 2 đêm;Nữ;Từ 5 đến 7 triệu;1;0;1;0;0;0;1;1;1;1
21;1;1;1;1;Gia đình;4 ngày 3 đêm;Nữ;Trên 10 triệu;1;0;1;0;0;0;0;1;1;0
20;1;1;1;1;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;1;0;1;0;0;0;1;0;1;0
22;1;1;1;1;Một Mình;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;1;0;1;0;0;0;1;0;1;0
19;1;0;0;0;Gia đình;5 ngày 4 đêm;Nam;Từ 1 đến 3 triệu;1;0;1;0;0;0;1;1;1;1
22;1;0;0;0;Bạn Bè;5 ngày 4 đêm;Nữ;Từ 5 đến 7 triệu;1;1;0;1;1;1;1;0;0;1
26;1;1;0;0;Gia đình;2 ngày 1 đêm;Nam;Từ 1 đến 3 triệu;1;1;0;1;1;1;0;0;0;0
20;1;0;0;0;Gia đình;3 ngày 2 đêm;Nữ;Từ 5 đến 7 triệu;1;0;1;0;0;0;1;1;1;1
21;1;1;1;1;Gia đình;4 ngày 3 đêm;Nữ;Trên 10 triệu;1;0;1;0;0;0;0;1;1;0
20;1;1;1;1;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;1;0;1;0;0;0;1;0;1;0
22;1;1;1;1;Một Mình;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;1;0;1;0;0;0;1;0;1;0
19;1;0;0;0;Gia đình;5 ngày 4 đêm;Nam;Từ 1 đến 3 triệu;1;0;1;0;0;0;1;1;1;1
22;1;0;0;0;Bạn Bè;5 ngày 4 đêm;Nữ;Từ 5 đến 7 triệu;1;1;0;1;1;1;1;0;0;1
26;1;1;0;0;Gia đình;2 ngày 1 đêm;Nam;Từ 1 đến 3 triệu;1;1;0;1;1;1;0;0;0;0
20;1;0;0;0;Gia đình;3 ngày 2 đêm;Nữ;Từ 5 đến 7 triệu;1;0;1;0;0;0;1;1;1;1
21;1;1;1;1;Gia đình;4 ngày 3 đêm;Nữ;Trên 10 triệu;1;0;1;0;0;0;0;1;1;0
20;1;1;1;1;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;1;0;1;0;0;0;1;0;1;0
