AGE;Interest;Bạn đi với;Visiting time;sex;Desired amount;địa điểm tham quan
19;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Bạn Bè;3 ngày 2 đêm;Nữ;Từ 1 đến 3 triệu;Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân
19;Di Tích Lịch Sử;Gia đình;3 ngày 2 đêm;Nam;Từ 3 đến 5 Triệu;Cố đô Huế, Đồi Vọng Cảnh, Cung An Định Huế, Chợ Đông Ba
22;Di Tích Lịch Sử, Món ăn ngon;Một Mình;2 ngày 1 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Vườn hoa Bách Vân, Chợ Đông Ba
21;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Gia đình;3 ngày 2 đêm;Nữ;3,5 triệu;Cố đô Huế, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân
20;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon;Bạn Bè;2 ngày 1 đêm;Nữ;Từ 3 đến 5 Triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Vườn hoa Bách Vân, Chợ Đông Ba
21;Di Tích Lịch Sử, Món ăn ngon;Gia đình;3 ngày 2 đêm;Nam;Từ 3 đến 5 Triệu;Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân
22;Di Tích Lịch Sử;Gia đình;3 ngày 2 đêm;Nam;Từ 3 đến 5 Triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
20;Di Tích Lịch Sử, Trải nghiệm mới;Gia đình;4 ngày 3 đêm;Nam;3,5 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Vườn hoa Bách Vân, Chợ Đông Ba
22;Vẻ đẹp thiên, Di Tích Lịch Sử;Người yêu;4 ngày 3 đêm;Nam;Từ 5 đến 7 triệu;Đồi Vọng Cảnh, Vườn hoa Bách Vân, Chợ Đông Ba
22;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Bạn Bè;4 ngày 3 đêm;Nữ;Từ 3 đến 5 Triệu;Cố đô Huế, Đồi Vọng Cảnh, Chợ Đông Ba
20;Món ăn ngon;Người yêu;3 ngày 2 đêm;Nam;3,5 triệu;Cố đô Huế, Vườn hoa Bách Vân
13;Món ăn ngon, Trải nghiệm mới;Một Mình;5 ngày 4 đêm;Nam;Trên 10 triệu;Cố đô Huế, Cung An Định Huế, Vườn hoa Bách Vân
20;Món ăn ngon;Người yêu;3 ngày 2 đêm;Nam;3,5 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Vườn hoa Bách Vân
20;Di Tích Lịch Sử;Một Mình;5 ngày 4 đêm;Nữ;Từ 5 đến 7 triệu;Cố đô Huế, Đồi Vọng Cảnh, Vườn hoa Bách Vân
22;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Bạn Bè;2 ngày 1 đêm;Nữ;3,5 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Chợ Đông Ba
20;Vẻ đẹp thiên, Di Tích Lịch Sử;Một Mình;4 ngày 3 đêm;Nữ;Từ 3 đến 5 Triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Vườn hoa Bách Vân, Chợ Đông Ba
20;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Gia đình;3 ngày 2 đêm;Nam;Từ 5 đến 7 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
21;Di Tích Lịch Sử, Trải nghiệm mới;Gia đình;3 ngày 2 đêm;Nam;Từ 3 đến 5 Triệu;Cố đô Huế, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân
21;Di Tích Lịch Sử;Gia đình;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;Cố đô Huế, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân
21;Di Tích Lịch Sử;Gia đình;5 ngày 4 đêm;Nam;Từ 3 đến 5 Triệu;Chùa Thiên Mụ, Chợ Đông Ba
25;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon;Người yêu;4 ngày 3 đêm;Nữ;Từ 3 đến 5 Triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân
20;Món ăn ngon;Gia đình;5 ngày 4 đêm;Nam;Từ 5 đến 7 triệu;Đồi Vọng Cảnh, Vườn hoa Bách Vân
20;Vẻ đẹp thiên, Di Tích Lịch Sử, Trải nghiệm mới;Gia đình;3 ngày 2 đêm;Nam;3,5 triệu;Cố đô Huế, Chùa Thiên Mụ
22;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Người yêu;3 ngày 2 đêm;Nữ;3,5 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Vườn hoa Bách Vân
21;Di Tích Lịch Sử;Gia đình;4 ngày 3 đêm;Nam;3,5 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Vườn hoa Bách Vân
23;Di Tích Lịch Sử, Trải nghiệm mới;Gia đình;3 ngày 2 đêm;Nam;Từ 3 đến 5 Triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
20;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon;Bạn Bè;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;Chùa Thiên Mụ, Đồi Vọng Cảnh, Vườn hoa Bách Vân
21;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon;Một Mình;4 ngày 3 đêm;Nam;Từ 5 đến 7 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
20;Vẻ đẹp thiên, Di Tích Lịch Sử, Trải nghiệm mới;Gia đình;5 ngày 4 đêm;Nam;Từ 5 đến 7 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Vườn hoa Bách Vân
22;Di Tích Lịch Sử;Bạn Bè;2 ngày 1 đêm;Nữ;Từ 5 đến 7 triệu;Cố đô Huế
20;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon;Gia đình;5 ngày 4 đêm;Nam;Từ 5 đến 7 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
23;Vẻ đẹp thiên, Di Tích Lịch Sử;Gia đình;3 ngày 2 đêm;Nam;Từ 3 đến 5 Triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
22;Di Tích Lịch Sử;Bạn Bè;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;Cố đô Huế, Chùa Thiên Mụ, Cung An Định Huế, Chợ Đông Ba
22;Vẻ đẹp thiên, Di Tích Lịch Sử, Trải nghiệm mới;Bạn Bè;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
23;Món ăn ngon;Bạn Bè;3 ngày 2 đêm;Nữ;Từ 5 đến 7 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
22;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Gia đình;3 ngày 2 đêm;Nữ;Từ 5 đến 7 triệu;Chùa Thiên Mụ
22;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon;Gia đình;3 ngày 2 đêm;Nam;Từ 3 đến 5 Triệu;Cố đô Huế, Đồi Vọng Cảnh, Chợ Đông Ba
60;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới, ;Người yêu;5 ngày 4 đêm;Nữ;Trên 10 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
40;Di Tích Lịch Sử, Món ăn ngon;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Chợ Đông Ba
22;Di Tích Lịch Sử;Bạn Bè;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
37;Vẻ đẹp thiên, Món ăn ngon;Gia đình;3 ngày 2 đêm;Nữ;3,5 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Vườn hoa Bách Vân
22;Vẻ đẹp thiên;Gia đình;3 ngày 2 đêm;Nữ;3,5 triệu;Cố đô Huế, Chùa Thiên Mụ
19;Di Tích Lịch Sử;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân
40;Di Tích Lịch Sử, Món ăn ngon;Gia đình;4 ngày 3 đêm;Nam;Từ 5 đến 7 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh
42;Di Tích Lịch Sử, Món ăn ngon;Gia đình;2 ngày 1 đêm;Nữ;Từ 3 đến 5 Triệu;Cố đô Huế, Chùa Thiên Mụ, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
20;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Gia đình;2 ngày 1 đêm;Nam;3,5 triệu;Cố đô Huế, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
20;Vẻ đẹp thiên;Gia đình;4 ngày 3 đêm;Nam;Từ 3 đến 5 Triệu;Cố đô Huế, Đồi Vọng Cảnh, Vườn hoa Bách Vân
21;Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Gia đình;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;Cố đô Huế, Đồi Vọng Cảnh, Vườn hoa Bách Vân, Chợ Đông Ba
20;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới, ;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
40;Vẻ đẹp thiên, Trải nghiệm mới;Gia đình;2 ngày 1 đêm;Nam;3,5 triệu;Cố đô Huế, Chùa Thiên Mụ, Cung An Định Huế, Chợ Đông Ba
19;Di Tích Lịch Sử, Món ăn ngon;Gia đình;3 ngày 2 đêm;Nữ;Trên 10 triệu;Vườn hoa Bách Vân
23;Di Tích Lịch Sử;Gia đình;4 ngày 3 đêm;Nam;Từ 3 đến 5 Triệu;Cố đô Huế
40;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon;Gia đình;3 ngày 2 đêm;Nam;Từ 3 đến 5 Triệu;Cố đô Huế, Chùa Thiên Mụ, Cung An Định Huế, Chợ Đông Ba
20;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
20;Vẻ đẹp thiên;Gia đình;5 ngày 4 đêm;Nam;Từ 5 đến 7 triệu;Cố đô Huế, Đồi Vọng Cảnh, Vườn hoa Bách Vân
20;Di Tích Lịch Sử;Gia đình;2 ngày 1 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
20;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Gia đình;2 ngày 1 đêm;Nam;Từ 3 đến 5 Triệu;Cố đô Huế, Chùa Thiên Mụ, Vườn hoa Bách Vân, Chợ Đông Ba
22;Món ăn ngon;Người yêu;5 ngày 4 đêm;Nữ;3,5 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
21;Di Tích Lịch Sử, Món ăn ngon;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
20;Vẻ đẹp thiên, Di Tích Lịch Sử;Bạn Bè;2 ngày 1 đêm;Nữ;Từ 3 đến 5 Triệu;Cố đô Huế, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
20;Di Tích Lịch Sử;Gia đình;2 ngày 1 đêm;Nam;Từ 5 đến 7 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
20;Vẻ đẹp thiên, Di Tích Lịch Sử, Trải nghiệm mới;Gia đình;4 ngày 3 đêm;Nữ;3,5 triệu;Cố đô Huế, Chùa Thiên Mụ, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
19;Di Tích Lịch Sử;Một Mình;2 ngày 1 đêm;Nữ;Từ 1 đến 3 triệu;Vườn hoa Bách Vân, Chợ Đông Ba
20;Di Tích Lịch Sử;Gia đình;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;Cố đô Huế
21;Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Gia đình;5 ngày 4 đêm;Nữ;Từ 3 đến 5 Triệu;Cố đô Huế, Chùa Thiên Mụ, Vườn hoa Bách Vân, Chợ Đông Ba
20;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon;Gia đình;5 ngày 4 đêm;Nam;Từ 3 đến 5 Triệu;Cố đô Huế, Vườn hoa Bách Vân, Chợ Đông Ba
22;Di Tích Lịch Sử, Món ăn ngon;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
18;Di Tích Lịch Sử, Món ăn ngon;Gia đình;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
19;Vẻ đẹp thiên, Di Tích Lịch Sử, Trải nghiệm mới;Bạn Bè;4 ngày 3 đêm;Nam;Từ 5 đến 7 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
18;Vẻ đẹp thiên;Gia đình;4 ngày 3 đêm;Nữ;Từ 5 đến 7 triệu;Cố đô Huế, Chùa Thiên Mụ
16;Di Tích Lịch Sử;Gia đình;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;Cố đô Huế, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân
17;Di Tích Lịch Sử, Món ăn ngon;Gia đình;5 ngày 4 đêm;Nam;Từ 3 đến 5 Triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
22;Di Tích Lịch Sử;Bạn Bè;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Vườn hoa Bách Vân
23;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Gia đình;4 ngày 3 đêm;Nữ;Từ 3 đến 5 Triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế
22;Di Tích Lịch Sử;Gia đình;4 ngày 3 đêm;Nữ;Từ 5 đến 7 triệu;Chợ Đông Ba
24;Vẻ đẹp thiên;Người yêu;3 ngày 2 đêm;Nam;Từ 3 đến 5 Triệu;Đồi Vọng Cảnh
20;Di Tích Lịch Sử;Gia đình;3 ngày 2 đêm;Nam;Từ 3 đến 5 Triệu;Cố đô Huế, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
21;Vẻ đẹp thiên, Di Tích Lịch Sử;Gia đình;3 ngày 2 đêm;Nam;Từ 3 đến 5 Triệu;Cố đô Huế, Đồi Vọng Cảnh, Vườn hoa Bách Vân
20;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon;Người yêu;3 ngày 2 đêm;Nam;3,5 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
20;Di Tích Lịch Sử, Món ăn ngon;Gia đình;3 ngày 2 đêm;Nữ;Từ 5 đến 7 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
20;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon;Bạn Bè;5 ngày 4 đêm;Nữ;3,5 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
22;Di Tích Lịch Sử;Bạn Bè;4 ngày 3 đêm;Nữ;Từ 5 đến 7 triệu;Cố đô Huế
15;Di Tích Lịch Sử, Món ăn ngon;Gia đình;4 ngày 3 đêm;Nữ;Trên 10 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
18;Món ăn ngon, Trải nghiệm mới;Người yêu;3 ngày 2 đêm;Nam;Từ 5 đến 7 triệu;Cố đô Huế, Cung An Định Huế
22;Vẻ đẹp thiên;Người yêu;4 ngày 3 đêm;Nữ;Từ 3 đến 5 Triệu;Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân
22;Vẻ đẹp thiên, Di Tích Lịch Sử;Gia đình;2 ngày 1 đêm;Nam;Từ 3 đến 5 Triệu;Cố đô Huế
22;Vẻ đẹp thiên, Món ăn ngon;Bạn Bè;4 ngày 3 đêm;Nam;Từ 5 đến 7 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Chợ Đông Ba
21;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon;Người yêu;5 ngày 4 đêm;Nam;3,5 triệu;Cố đô Huế, Chùa Thiên Mụ, Cung An Định Huế, Chợ Đông Ba
22;Món ăn ngon, Trải nghiệm mới;Gia đình;4 ngày 3 đêm;Nữ;Từ 3 đến 5 Triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Chợ Đông Ba
20;Di Tích Lịch Sử;Một Mình;4 ngày 3 đêm;Nữ;Trên 10 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
21;Di Tích Lịch Sử;Gia đình;3 ngày 2 đêm;Nữ;Từ 1 đến 3 triệu;Cố đô Huế, Chợ Đông Ba
44;Món ăn ngon;Gia đình;5 ngày 4 đêm;Nữ;Trên 10 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
20;Di Tích Lịch Sử;Người yêu;5 ngày 4 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế
25;Vẻ đẹp thiên;Gia đình;5 ngày 4 đêm;Nam;Trên 10 triệu;Cố đô Huế
20;Di Tích Lịch Sử;Gia đình;4 ngày 3 đêm;Nữ;Trên 10 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
21;Di Tích Lịch Sử;Gia đình;3 ngày 2 đêm;Nam;3,5 triệu;Cố đô Huế, Chùa Thiên Mụ, Cung An Định Huế, Chợ Đông Ba
17;Di Tích Lịch Sử;Gia đình;2 ngày 1 đêm;Nữ;Từ 5 đến 7 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh
21;Vẻ đẹp thiên, Di Tích Lịch Sử;Gia đình;2 ngày 1 đêm;Nữ;Từ 1 đến 3 triệu;Đồi Vọng Cảnh, Vườn hoa Bách Vân
24;Vẻ đẹp thiên, Di Tích Lịch Sử;Người yêu;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế
19;Di Tích Lịch Sử;Gia đình;5 ngày 4 đêm;Nam;3,5 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
19;Di Tích Lịch Sử;Gia đình;2 ngày 1 đêm;Nữ;Từ 1 đến 3 triệu;Cố đô Huế, Chùa Thiên Mụ, Cung An Định Huế
19;Món ăn ngon;Gia đình;4 ngày 3 đêm;Nam;Từ 3 đến 5 Triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
20;Món ăn ngon;Bạn Bè;2 ngày 1 đêm;Nam;Từ 3 đến 5 Triệu;Cố đô Huế
